danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,duration_ms,song_title,artist_name
0.277,0.56,8,-8.127,1,0.0337,0.00318,0.0189,0.0875,0.149,139.411,https://api.spotify.com/v1/tracks/2HKXbQ5o3g3gJiyAHL5bD8,221955,Pressure,Tevvez
0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752,https://api.spotify.com/v1/tracks/7pKfPomDEeI4TPT6EOYjn9,187867,Imagine - Remastered 2010,John Lennon
0.632,0.668,6,-6.196,1,0.0514,0.078,0.111,0.0863,0.716,108.997,https://api.spotify.com/v1/tracks/3qs1ozCx271UQqmzC7oNuj,206373,The King,Sarah Kinsley
0.474,0.804,5,-7.763,1,0.0473,0.309,1.81e-06,0.552,0.757,140.507,https://api.spotify.com/v1/tracks/2w6JXokk0F8i241Y8C0Mn6,175000,"Honey, Honey",ABBA
0.885,0.795,7,-5.027,0,0.0882,0.089,3.18e-05,0.0916,0.882,120.008,https://api.spotify.com/v1/tracks/47HmhXbYlMIxpN2ChwNMh9,157133,"Call Me, Beep Me! (The Kim Possible Song)",Christina Milian
0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,https://api.spotify.com/v1/tracks/1DWZUa5Mzf2BwzpHtgbHPY,342040,Good News,Mac Miller
0.366,0.471,8,-6.369,1,0.0363,0.000226,0.868,0.0673,0.037,140.142,https://api.spotify.com/v1/tracks/0bSHwuTOZVJUXWT03H9oD2,102013,Succession (Main Title Theme),Nicholas Britell
0.637,0.651,2,-7.089,1,0.0521,0.32,0.0,0.0938,0.485,115.926,https://api.spotify.com/v1/tracks/7ByxizhA4GgEf7Sxomxhze,251511,All My Love,Noah Kahan
0.604,0.789,5,-6.259,1,0.0273,0.0011,0.828,0.368,0.348,122.032,https://api.spotify.com/v1/tracks/3K94Fd5ZQkPCW8wV6oyk22,275227,Don't Delete The Kisses,Wolf Alice
0.432,0.52,1,-5.515,0,0.0548,0.277,0.371,0.138,0.303,164.047,https://api.spotify.com/v1/tracks/2vsuel3g4zaLYSOY0mOMbi,231653,Bad Luck,Khalid
0.667,0.747,1,-7.059,1,0.189,0.337,0.0,0.115,0.918,86.917,https://api.spotify.com/v1/tracks/4iz9lGMjU1lXS51oPmUmTe,203493,Homecoming,Kanye West
0.487,0.858,5,-3.915,1,0.0603,0.00417,0.0,0.149,0.523,157.962,https://api.spotify.com/v1/tracks/3Jnwl9zlbFNEqKQjydxLxe,213507,BONVOYAGE,Dreamcatcher
0.746,0.486,8,-5.428,1,0.0326,0.00644,8.58e-05,0.299,0.36,117.035,https://api.spotify.com/v1/tracks/6ZEdXD3Eeh34PPNXcF0Tdz,219458,Washed Wine,LAVE
0.658,0.709,8,-6.736,1,0.0904,0.00188,0.00447,0.0657,0.855,129.701,https://api.spotify.com/v1/tracks/3GfOAdcoc3X5GPiiXmpBjK,121880,Song 2,Blur
0.803,0.401,3,-13.28,0,0.287,0.612,0.763,0.244,0.592,125.872,https://api.spotify.com/v1/tracks/32TW5KGM1UqTzkTOkcNITt,135516,Sweetly,Lord Kael
0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,216933,Sweet Dreams (Are Made of This) - Remastered,Eurythmics
0.439,0.808,1,-6.881,1,0.346,0.00305,0.0,0.439,0.487,82.962,https://api.spotify.com/v1/tracks/4ZPdLEztrlZqbJkgHNw54L,207000,Good Life,Kanye West
0.878,0.525,5,-6.832,1,0.0578,0.183,0.0,0.0714,0.694,112.022,https://api.spotify.com/v1/tracks/1Cv1YLb4q0RzL6pybtaMLo,158571,Sunday Best,Surfaces
0.56,0.434,4,-14.151,0,0.0729,0.55,0.0,0.346,0.664,112.803,https://api.spotify.com/v1/tracks/4FmCUATNIarCQh72JYdvnm,187040,That's Life,Frank Sinatra
